key_variable,value_unique,flg_toFactor,percent_missing,dsin_type
AccountBalance,3,TRUE,0,train
Ageyears,53,FALSE,0,train
ConcurrentCredits,2,TRUE,0,train
Creditability,2,TRUE,0,train
CreditAmount,476,FALSE,0,train
DurationinCurrentaddress,4,TRUE,0,train
DurationofCreditmonth,30,FALSE,0,train
ForeignWorker,2,TRUE,0,train
Guarantors,2,TRUE,0,train
Instalmentpercent,4,TRUE,0,train
Lengthofcurrentemployment,4,TRUE,0,train
Mostvaluableavailableasset,4,TRUE,0,train
NoofCreditsatthisBank,2,TRUE,0,train
Noofdependents,2,TRUE,0,train
Occupation,1,TRUE,0,train
PaymentStatusofPreviousCredit,3,TRUE,0,train
Purpose,4,TRUE,0,train
SexMaritalStatus,3,TRUE,0,train
Telephone,2,TRUE,0,train
Typeofapartment,3,TRUE,0,train
ValueSavingsStocks,4,TRUE,0,train
